	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
614	Kelsea Ballerini	53	Fun and Games	contemporary country, indonesian jazz, pop	0.10800000000000001	0.665	180760	0.732	0.0	0.107	-5.981	0	0.111	90.007	4	0.604
615	Kelsea Ballerini	53	Fun and Games	contemporary country, indonesian jazz, pop	0.10800000000000001	0.665	180760	0.732	0.0	0.107	-5.981	0	0.111	90.007	4	0.604
616	Sarcastic Sounds	63	I Don't Love You Anymore	chillhop, emo rap, lo-fi beats	0.428	0.708	77600	0.309	0.87	0.0843	-19.535999999999998	1	0.14400000000000002	74.99	4	0.451
617	Sarcastic Sounds	61	It's OK to Cry	chillhop, emo rap, lo-fi beats	0.371	0.772	102056	0.502	0.922	0.0917	-13.254000000000001	0	0.0291	152.031	4	0.145
618	Sarcastic Sounds	60	Dead Dreams	chillhop, emo rap, lo-fi beats	0.218	0.726	93701	0.415	0.386	0.107	-11.693	0	0.16699999999999998	81.976	4	0.215
619	Tyler Braden	58	Leave Me Alone	contemporary country, lift kit	0.00783	0.40299999999999997	196592	0.617	0.0	0.14800000000000002	-7.02	0	0.0337	150.064	4	0.204
620	Hushed	65	Hibernation	focus	0.9279999999999999	0.266	216678	0.0205	0.907	0.113	-29.372	1	0.0358	69.839	4	0.107
621	Hushed	65	Hibernation	focus	0.9279999999999999	0.266	216678	0.0205	0.907	0.113	-29.372	1	0.0358	69.839	4	0.107
622	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
623	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
624	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
625	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
626	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
627	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
628	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
629	Hushed	60	Still Life	focus	0.63	0.11199999999999999	158757	0.0297	0.695	0.111	-27.006	1	0.04	83.792	4	0.0355
630	Cher	67	Super Trouper	dance pop, hollywood	0.0425	0.6809999999999999	231480	0.655	0.0	0.0699	-8.642000000000001	1	0.0257	124.99600000000001	4	0.9009999999999999
