,artist_ids,genres_all
252,67nwj3Y5sZQLl72VNUHEYE,"gangster rap, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary"
253,3ipn9JLAPI5GUEo4y4jcoi,"atl hip hop, dance pop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap music"
254,2jnIB6XdLvnJUeNTy5A0J2,"boy band, dance pop, pop, post-teen pop, teen pop"
255,15iVAtD3s3FsQR4w1v6M0P,"drill, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, vapor trap"
256,6olE6TJLqED3rqDCT0FyPh,"alternative rock, grunge, permanent wave, post-grunge, rock"
257,21E3waRsmPlU7jZsS13rcj,"dance pop, pop, pop rap, r&b, urban contemporary"
258,04ei5kNgmDuNAydFhhIHnD,"emo rap, underground hip hop, vapor trap"
259,3HiuzBlSW7pGDXlSFMhO2g,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap music"
260,2iE18Oxc8YSumAU232n4rW,"adult standards, christmas, motown"
261,4phGZZrJZRo4ElhRtViYdl,"acoustic pop, neo mellow, pop, pop rock"
262,5V0MlUE1Bft0mbLlND7FJz,"adult standards, christmas, jazz blues, swing, vocal jazz"
263,7x8nK0m0cP2ksQf0mjWdPS,"canadian contemporary country, contemporary country, country, country road, modern country rock"
264,2gBjLmx6zQnFGQJCAQpRgw,"dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary"
265,2pSObt5Fk8izuX8ZfI3jRn,"country rap, redneck"
266,7gP3bB2nilZXLfPHJhMdvc,"indie pop, indietronica, la indie, modern alternative rock, modern rock, pop, rock"
267,3DiDSECUqqY1AuBP8qtaIa,"hip pop, neo soul, pop, r&b, urban contemporary"
268,0nmQIMXWTXfhgOBdNzhGOs,"alternative metal, nu metal, post-grunge"
269,6Ff53KvcvAj5U7Z1vojB5o,"boy band, dance pop, pop, post-teen pop"
270,2P5sC9cVZDToPxyomzF1UH,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop"
271,3GBPw9NK25X1Wt2OUvOwY3,neo mellow
272,0NWbwDZY1VkRqFafuQm6wk,"atl hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music"
273,7FBcuc1gsnv6Y1nwFtNRCb,"emo, pop punk"
274,5nSGBmlgUdqWNExnOX8VtV,"environmental, sleep"
275,2o5jDhtHVPhrJdv3cEQ99Z,"big room, brostep, dance pop, edm, electro house, house, pop, trance, tropical house"
276,2feDdbD5araYcm6JhFHHw7,"dance pop, pop, pop rap, r&b"
277,05fG473iIaoy82BF1aGhL8,"alternative metal, nu metal, post-grunge, rap metal"
278,6WY7D3jk8zTrHtmkqqo5GI,contemporary country
279,2cADQgiLMjNhbsfeN52Bf3,"battle rap, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop, trap music"
280,10exVja0key0uqUkk6LJRT,"indie folk, modern rock, pop"
281,0ECwFtbIWEVNwjlrfc6xoL,"album rock, classic rock, folk rock, heartland rock, mellow gold, rock, soft rock"
282,738wLrAtLtCtFOLvQBXOXp,"dance pop, edm, electro house, moombahton, pop"
283,70BYFdaZbEKbeauJ670ysI,"alternative metal, nu metal, post-grunge, rap rock"
284,6UBA15slIuadJ8h2lPRPos,"gangster rap, hip hop, pop rap, rap, southern hip hop"
285,64aJYyrXljOodnUG6jvhRD,reggaeton flow
286,1vCWHaC5f2uS3yhpwWbIA6,"big room, dance pop, edm, pop"
287,3EXdLajEO02ziZ90P90bSW,"underground hip hop, vapor trap"
288,3tVQdUvClmAT7URs9V3rsp,"afrobeats, afropop, azonto, nigerian hip hop"
289,0u2FHSq3ln94y5Q57xazwf,"australian country, contemporary country, country, country road"
290,0u2FHSq3ln94y5Q57xazwf,"australian country, contemporary country, country, country road"
291,3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, garage rock, modern rock, permanent wave, pop punk, pop rock, post-grunge, rock"
292,77tT1kLj6mCWtFNqiOmP9H,"album rock, folk rock, mellow gold, rock, soft rock"
293,5F1aoppMtU3OMiltO8ymJ2,hollywood
294,2iE18Oxc8YSumAU232n4rW,"adult standards, christmas, motown"
295,4phGZZrJZRo4ElhRtViYdl,"acoustic pop, neo mellow, pop, pop rock"
296,5V0MlUE1Bft0mbLlND7FJz,"adult standards, christmas, jazz blues, swing, vocal jazz"
297,7x8nK0m0cP2ksQf0mjWdPS,"canadian contemporary country, contemporary country, country, country road, modern country rock"
